split,problem_id,candidate_id,loop,source_model,correct_label,label_source,initial_bucket,pos_neg,source_file,leakage_risk,note
selfverif-pilot100-se-loop1-pool,cf-00000,cf-00000::se16::5,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),5-8,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00000,cf-00000::se16::6,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),5-8,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00000,cf-00000::se16::13,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),5-8,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::1,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=False
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::2,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::3,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::6,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::7,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::8,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::9,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::11,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::12,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::13,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00001,cf-00001::se16::15,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::0,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::1,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::2,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::3,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::4,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::5,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::6,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::7,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::8,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::9,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::10,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::11,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::13,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::14,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00003,cf-00003::se16::15,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),0,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00004,cf-00004::se16::2,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),9-15,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
selfverif-pilot100-se-loop1-pool,cf-00004,cf-00004::se16::4,1,Qwen/Qwen3-4B,True,strong_judge(gpt-oss-120b SVD),9-15,positive,outputs/openthoughts114k_codeforces_full_datagen/svd_pilot_100/se_nofb/sh*/se_out.jsonl,low(test-free; oracle-precision 0.956),oracle_truth=True
